,TWEETS
2,omg its already 7:30 :O
6,       Juuuuuuuuuuuuuuuuussssst Chillin!!
8,      handed in my uniform today . i miss you already
9,      hmmmm.... i wonder how she my number @-)
11,thanks to all the haters up in my face all day! 112-102
17,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
22,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
28,"   goodbye exams, HELLO ALCOHOL TONIGHT "
38,   uploading pictures on friendster 
41,(: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
43,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
44,  ... health class (what a joke!)
45,@ginaaa &lt;3 GO TO THE SHOW TONIGHT
51,  bathroom is clean..... now on to more enjoyable tasks......
52,  boom boom pow
57,  go give ur mom a hug right now. http://bit.ly/azFwv
58,  Going To See Harry Sunday Happiness 
61,-  I always get what I want
62,  I bend backwards  
63,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
64,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
85,  I'm really going to bed now...
89,  Jin has a twitter.
92,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
93,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
102,  oh thank you!
103,  pleased
107,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
112,"  Thanks, I need all the help i can get."
113, - that explains alot.
114,There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
116,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
117,"True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
127,  wide awake   NOT!!!
128,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
133,#poemsunder140 ....started by @shannonelyse1
137," &lt;--- That is all, and believe me.. it's enough!"
138,&lt;3 goooood timessss
143, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
145,&quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
146,&quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke
154,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
155,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
157,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much ."
158,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
165, ..... hot choco is the best!
170, : Beach day with Scoobs. =( : Still no phone.
173," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
174, @ canaveral national  seashore
175, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
176, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
178,' @ Thestreetforce  '
179,@3sixty5days makes me smile.
180,"@adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
181,"@adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0"
182, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
185," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
186, @CharlottegC I just saw ur mum
187, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
188,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
189,@copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
190,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
